Text,Group,Region,Dimension,Type,Theme,Priority
lack of recognition of the care management function,5,W,PC,Barrier,,
Poorly regulated case manager function (little legal support),5,W,PC,Barrier,,
"Little visibility on the existing network at the level of the first line of care, by territory",5,W,PC,Barrier,,
Lack of knowledge of each other's lines (and contacts) and how they work ,5,W,PC,Barrier,,
The Covid crisis helped develop coordination,5,W,PC,Facilitator,,
Introduce multi-disciplinary collaboration in studies,5,W,PC,Facilitator,,
Changing attitudes towards a multidisciplinary approach,5,W,PC,Facilitator,,
coordination meeting ,5,W,PC,Facilitator,,
"First line support teams: Home care coordination, palliative care, ...",5,W,PC,Facilitator,,
"In the pilot projects, experiments with coordination and multidisciplinary collaboration ",5,W,PC,Facilitator,,
The added value of coordinator is recognised,5,W,PC,Facilitator,,
Evaluation criterion risks becoming a goal in itself,5,W,EM,Barrier,,
Difficulty in assessing qualitative aspects such as the patient-caregiver relationship,5,W,EM,Barrier,,
Need to pay attention to evaluation before launching a new initiative,5,W,EM,Barrier,,
lack of time ,5,W,EM,Barrier,,
Quality culture takes time,5,W,EM,Barrier,,
Administrative always comes as an overload (after care - independent providers),5,W,EM,Barrier,,
Fear of peer judgment,5,W,EM,Barrier,,
Time lag between the action and its effects on organisations and then on the population,5,W,EM,Barrier,,
Importance of realistic objectives,5,W,EM,Barrier,,
Requested evaluation out of step with the realities on the ground,5,W,EM,Barrier,,
Fee for service,5,W,EM,Facilitator,,
Evaluation initiatives at pilot project level,5,W,EM,Facilitator,,
Need for coordination and energy at this level (at national level),5,W,EM,Facilitator,,
Developing a culture of reporting indicients,5,W,EM,Facilitator,,
Availability of accurate health care consumption data at individual and population levels,5,W,EM,Facilitator,,
health determinants= little education,6,W,CE,Barrier,,
degree of dependence of certain patients,6,W,CE,Barrier,,
need for productivity/cost-effectiveness of care related to delivery time,6,W,CE,Barrier,,
digital divide,6,W,CE,Barrier,,
poverty,6,W,CE,Barrier,,
lack of time for caregivers,6,W,CE,Barrier,,
concern for communication between actors and users,6,W,CE,Barrier,,
Education,6,W,CE,Barrier,,
cultural habits of older patients (medical paternalism),6,W,CE,Barrier,,
remuneration ,6,W,CE,Barrier,,
communication between patients and health care providers for decision making,6,W,CE,Barrier,,
White coat authority,6,W,CE,Barrier,,
top-down caregiver culture,6,W,CE,Barrier,,
definition of health ,6,W,CE,Barrier,,
"Risk that only the voice of the ""best educated"" patients is heard, leaving those less adept at communication processes out in the cold ",6,W,CE,Barrier,,
fear of contradicting the carer,6,W,CE,Barrier,,
Information,6,W,CE,Barrier,,
patient association without patients,6,W,CE,Barrier,,
the patient does not always understand their interest in autonomy,6,W,CE,Barrier,,
the doctor (or other carer) does not always have a (financial) interest in promoting autonomy,6,W,CE,Barrier,,
sharing tools with patient ,6,W,CE,Facilitator,,
training of carers in health education,6,W,CE,Facilitator,,
Ehealth training,6,W,CE,Facilitator,,
citizens' advisory councils,6,W,CE,Facilitator,,
patient training ,6,W,CE,Facilitator,,
Making participation meaningful,6,W,CE,Facilitator,,
"alderman for health, takeover of local coordination",6,W,CE,Facilitator,,
communication tool with patient at the centre,6,W,CE,Facilitator,,
contact point in the municipalities,6,W,CE,Facilitator,,
social cohesion plan,6,W,CE,Facilitator,,
patient expertise,6,W,CE,Facilitator,,
"health brochures in shops, schools",6,W,CE,Facilitator,,
The user as an expert on his or her experience,6,W,CE,Facilitator,,
"health kiosk, relay, patient orientation",6,W,CE,Facilitator,,
Emergence of pilot projects involving the voice of patients,6,W,CE,Facilitator,,
patient info database as health info,6,W,CE,Facilitator,,
"Development of numerous patient/user committee initiatives in hospitals, MR/MRS",6,W,CE,Facilitator,,
risk stratification,6,W,CE,Facilitator,,
to gather information on the supply of care available on the territory and make it available on the net,6,W,CE,Facilitator,,
coordination meeting with the patient and providers,6,W,CE,Facilitator,,
the flat rate system should be increasingly favoured at all levels,6,W,CE,Facilitator,,
LUSS involved in many projects,6,W,CE,Facilitator,,
Role of mutual insurance companies so that patients can follow their health records with support,6,W,CE,Facilitator,,
Training of professionals ,6,W,CE,Facilitator,,
"Website ""health directory""",6,W,CE,Facilitator,,
Corporatisme,6,W,SG,Barrier,,
mutlitudes de projets,6,W,SG,Barrier,,
prevention managed at a regional level while health is a federal responsibility,6,W,SG,Barrier,,
Fear/resistance of organisations to change,6,W,SG,Barrier,,
Multiple hospital networks in the same territory,6,W,SG,Barrier,,
"network led by a single profession (e.g. GP, Homecare)",6,W,SG,Barrier,,
Perceived supremacy of medical over other disciplines,6,W,SG,Barrier,,
micro-structures to raise more budgets,6,W,SG,Barrier,,
lack of experience of collaboration,6,W,SG,Barrier,,
power grab/ power struggle/ blackmail to resign,6,W,SG,Barrier,,
lack of clarity/ framework of authority,6,W,SG,Barrier,,
political fear of taking decisions,6,W,SG,Barrier,,
"Superimposition of zones that are not necessarily coherent in their organisation (SISD, GLS, hospital networks, GP circles, etc.)",6,W,SG,Barrier,,
a personality who loves to put on hats,6,W,SG,Barrier,,
Distribution of competences too fragmented,6,W,SG,Barrier,,
"opportunism of some ""faster"" providers",6,W,SG,Barrier,,
the doctor often thinks that he is the only one to intervene... but sometimes the patient too,6,W,SG,Barrier,,
lobbying,6,W,SG,Barrier,,
Institutional complexity,6,W,SG,Barrier,,
non-integration of local policies into care structures,6,W,SG,Barrier,,
"Funding arrangements not conducive to collaboration (especially in the hospital sector) (e.g., emergency room funded on a per visit basis)",6,W,SG,Barrier,,
"Various projects, communicated to the network",6,W,SG,Facilitator,,
General Practice Circles,6,W,SG,Facilitator,,
chronic disease projects,6,W,SG,Facilitator,,
Nursing circles should correspond to GP circles with representation at SISD level,6,W,SG,Facilitator,,
Recognition (change of mindset) of the need for a new way of organising care,6,W,SG,Facilitator,,
Finding the right people to talk to ,6,W,SG,Facilitator,,
encourage projects in terms of care areas (several municipalities),6,W,SG,Facilitator,,
policy makers not interested in the cause of a provider,6,W,SG,Facilitator,,
Political will to improve the structuring of care lines and collaboration between lines for greater efficiency,6,W,SG,Facilitator,,
an obligation to work together within the same governance structure,6,W,SG,Facilitator,,
financial monitoring and evaluation,6,W,SG,Facilitator,,
inform about the work and objectives of the different stakeholders,6,W,SG,Facilitator,,
Patient partners hospitals,6,W,SG,Facilitator,,
Competences compartmentalised between federal/regional and therefore difficult on a care pathway,6,W,SG,Facilitator,,
training of actors in group facilitation (consensus),6,W,SG,Facilitator,,
SISD,6,W,SG,Facilitator,,
"clear governance rules, an integrated structure",6,W,SG,Facilitator,,
Reform of the financing of hospitals by care missions,6,W,SG,Facilitator,,
monitoring of funding and results,6,W,SG,Facilitator,,
Sufficient financial means for coordination,6,W,SG,Facilitator,,
up-to-date provider register!,6,W,SG,Facilitator,,
Covid vaccination allowed some hospitals to get closer to GPs,6,W,SG,Facilitator,,
geographical harmonisation,6,W,SG,Facilitator,,
various non-compatible computer programs,6,W,RI,Barrier,,
Many legal obstacles,6,W,RI,Barrier,,
loss of assets ,6,W,RI,Barrier,,
Distribution,6,W,RI,Barrier,,
lack of budgets = hiring people who are not very competent or too young ,6,W,RI,Barrier,,
compromise ,6,W,RI,Barrier,,
shared medical secrecy,6,W,RI,Barrier,,
Distribution of competences between levels of government not conducive to a coherent policy,6,W,RI,Barrier,,
no information to and from partners including patients,6,W,RI,Barrier,,
lack of knowledge of certain actors and their roles,6,W,RI,Barrier,,
how to have a global vision of what happens at each level of territory...,6,W,RI,Barrier,,
Stratifications by discipline,6,W,RI,Barrier,,
"So it has to stay local, not try to copy and paste elsewhere",6,W,RI,Barrier,,
Rejecting bridges between home and hospital. Need to prepare outings in hospital with home team. Bad habit developed during COVID,6,W,RI,Barrier,,
Evaluation of some existing projects/structures (e.g. SISD),6,W,RI,Barrier,,
Communication/Newsletters,6,W,RI,Facilitator,,
compromise,6,W,RI,Facilitator,,
Network support and coaching,6,W,RI,Facilitator,,
Prevention,6,W,RI,Facilitator,,
innovations ,6,W,RI,Facilitator,,
facilitating change,6,W,RI,Facilitator,,
Electronic Patient Record,6,W,RI,Facilitator,,
raise awareness of future issues/ communicate better,6,W,RI,Facilitator,,
Peer helpers,6,W,RI,Facilitator,,
have patient/care pathway profiles validated,6,W,RI,Facilitator,,
have a common tool for sharing information,6,W,RI,Facilitator,,
a person responsible for integrated care within the hospital,6,W,RI,Facilitator,,
start with the local or care pool,6,W,RI,Facilitator,,
integrated care coordination,6,W,RI,Facilitator,,
silos,6,W,RI,Facilitator,,
Integrated vision of well-being,6,W,RI,Facilitator,,
real intersectorality,6,W,RI,Facilitator,,
Breaking down the barriers between disciplines,6,W,RI,Facilitator,,
round tables with sharing of experiences and realities in the field,6,W,RI,Facilitator,,
sharing good practice ,6,W,RI,Facilitator,,
"talking to each other as patients, carers, politicians",6,W,RI,Facilitator,,
Meetings-seminars-colloques,6,W,RI,Facilitator,,
Continuously informing (from GP to carer),1,F,BA,Facilitator,"Fragmentation of services, competences and power",6
Multidisciplinary working,1,F,BA,Facilitator,"Fragmentation of services, competences and power",6
"Broad view: in addition to medical care also welfare, informal care etc",1,F,BA,Facilitator,"Fragmentation of services, competences and power",6
More cooperation,1,F,BA,Facilitator,"Fragmentation of services, competences and power",6
"Developing a social map, also with informal care actors",1,F,BA,Facilitator,"Fragmentation of services, competences and power",6
Make an overview of what is already available,1,F,BA,Facilitator,"Fragmentation of services, competences and power",6
Little or no knowledge of other services,1,F,BA,Barrier,"Fragmentation of services, competences and power",6
Insufficient knowledge of the functioning of 'the care system' by the individual care providers,1,F,BA,Barrier,"Fragmentation of services, competences and power",6
Too little connectivity between primary care professionals,1,F,BA,Barrier,"Fragmentation of services, competences and power",6
Fragmented social map,1,F,BA,Barrier,"Fragmentation of services, competences and power",6
Caregivers' knowledge of the entire care system,1,F,BA,Barrier,"Fragmentation of services, competences and power",6
Distribution of powers,1,F,BA,Barrier,"Fragmentation of services, competences and power",6
Insufficient knowledge of care versus welfare partners,1,F,BA,Barrier,"Fragmentation of services, competences and power",6
Lack of cooperation,1,F,BA,Barrier,"Fragmentation of services, competences and power",6
Insufficient knowledge of the care providers,1,F,BA,Barrier,"Fragmentation of services, competences and power",6
"Educating healthcare professionals on the importance of 'care systems', patient experience' and 'patient empowerment'",1,F,BA,Facilitator,Demand-driven working,4
Inform patients so that they can take control if they want to,1,F,BA,Facilitator,Demand-driven working,4
Nomenclature reference for patient education by first-line clinicians,1,F,BA,Facilitator,Demand-driven working,4
Training nurses in patient education/empowerment,1,F,BA,Facilitator,Demand-driven working,4
Development of systems for patient empowerment,1,F,BA,Facilitator,Demand-driven working,4
Use of patient's and association's experiences,1,F,BA,Facilitator,Demand-driven working,4
Too supply-driven,1,F,BA,Barrier,Demand-driven working,4
Too little knowledge of patient about their role in integrated care,1,F,BA,Barrier,Demand-driven working,4
"Guidance for patients in their life course: no support for education of patients/empowerment (financially, task delegation) (only within ZGT)",1,F,BA,Barrier,Demand-driven working,4
No transmural care pathways between first and second line,1,F,BA,Barrier,Ensuring continuity of care,3
Hardly software systems that support integrated care,1,F,BA,Barrier,Ensuring continuity of care,3
Insufficient/no incentives to care alignment and optimisation ,1,F,BA,Barrier,Ensuring continuity of care,3
Bundled payment whereby the care providers decide together how to optimise the resources,1,F,BA,Facilitator,Adjusted funding,3
Financing of care coordination ,1,F,BA,Facilitator,Adjusted funding,3
Financial support for GP practices to recruit practice nurses,1,F,BA,Facilitator,Adjusted funding,3
Insufficient fnancial resources  to finance the time investment ,1,F,BA,Barrier,Adjusted funding,3
"Improving the cooperation between services < > MDO, Funding: invested time is not reimbursed (GP)",1,F,BA,Barrier,Adjusted funding,3
Lack of financing,1,F,BA,Barrier,Adjusted funding,3
Performance-based financing,1,F,BA,Barrier,Adjusted funding,3
"Support of the primary care, HA practice < > impulseo financing: either practice nurse or secretariat, abolishing telesecretariat",1,F,BA,Barrier,Adjusted funding,3
Small innovative initiatives,1,F,BA,Facilitator,Healthcare innovation,1
Legal restrictions for innovative actions,1,F,BA,Barrier,Healthcare innovation,1
Existing framework nomenclature codes complicate innovative actions,1,F,BA,Barrier,Healthcare innovation,1
"Too many projects, making caregivers give up",1,F,BA,Barrier,Healthcare innovation,1
Different levels are working on their own projects: lack of coherence,1,F,BA,Barrier,Healthcare innovation,1
Put needs and life goals of patient in the centre,1,F,BA,Facilitator,Targeted care,0
Quality of life is different for everyone,1,F,BA,Barrier,Targeted care,0
The perspective of 'patient experience' is not sufficiently central,1,F,BA,Barrier,Targeted care,0
Software not adapted to put in life goals of patients,1,F,BA,Barrier,Targeted care,0
More attention for neighbourhood-oriented initiatives,1,F,BA,Facilitator,Development of neighbourhood-oriented care,0
Prevention +++,1,F,BA,Facilitator,Prevention,1
Inequality is taken too little into account,1,F,DI,Barrier,Digital gap,
User-friendly file,1,F,DI,Facilitator,One digital patient file,5
HUBs,1,F,DI,Facilitator,One digital patient file,5
Roadmap e-santé,1,F,DI,Facilitator,One digital patient file,5
Lack of an electronic patient-following file ,1,F,DI,Barrier,One digital patient file,5
Lack of a single digital file,1,F,DI,Barrier,One digital patient file,5
Many different platforms to keep patient files ,1,F,DI,Barrier,One digital patient file,5
Multiple systems per healthcare provider ,1,F,DI,Barrier,One digital patient file,5
"Changes within structures, before evaluating them  ",1,F,DI,Barrier,,0
"Pharmacist and home nurses do not have access to SUMEHR (patient diagnosis) and/or lab data, which deprives them of opportunity to perform their task optimally",1,F,DI,Barrier,Access to data,0
"Patient is owner of his digital health record and gives access if there is a ""therapeutic relationship"" and informed consent ",1,F,DI,Facilitator,Digital access for the patient,0
The patient himself is not enough digitally literate ,1,F,DI,Barrier,Digital access for the patient,0
Digitalisation must remain a choice ,1,F,DI,Barrier,Digital access for the patient,0
Various platforms for patients create confusion ,1,F,DI,Barrier,Digital access for the patient,0
"Older patients start to drop out (covid pass, e-prescription) ",1,F,DI,Barrier,Digital access for the patient,0
"Better cooperation and exchange of data, transmural across all lines",1,F,DI,Facilitator,Data sharing,3
"Importance of integrated system: everything in EMD, no separate systems",1,F,DI,Facilitator,Data sharing,4
Platforms are not always compatible; data sharing not uniform ,1,F,DI,Barrier,Data sharing,3
Vitalink does not work for sharing of medication schedules,1,F,DI,Barrier,Data sharing,3
ICT systems are not aligned to each other ,1,F,DI,Barrier,Data sharing,3
"Jungle of software, platforms and e-Services that are difficult to connect with each other",1,F,DI,Barrier,Data sharing,3
Defective exchange of data ,1,F,DI,Barrier,Data sharing,3
Digital multidisciplinary consultation/communication,1,F,DI,Facilitator,Digital interdisciplinary communication,1
Increase digital accessibility in the MDO,1,F,DI,Facilitator,Digital interdisciplinary communication,1
"Interdisciplinary communication is one-way: from specialist to GP via report (= digital), no digital communication from GP to specialist ",1,F,DI,Barrier,Digital interdisciplinary communication,1
Discharge management from hospital to home ,1,F,DI,Barrier,Digital interdisciplinary communication,1
"Cooperation INTEGO, IMA, SCUBY to create a learning health system",1,F,EM,Facilitator,Cooperation,1
Little or no communication between different actors  ,1,F,EM,Barrier,Cooperation,1
"Lack of cooperation between the different levels (micro, meso, macro) ",1,F,EM,Barrier,Cooperation,1
Communication,1,F,EM,Barrier,Cooperation,1
Lack of follow-up consultation ,1,F,EM,Barrier,Cooperation,1
Elaboration of accepted standards for quality of integrated care ,1,F,EM,Facilitator,Basic tools provided for evaluation,0
Organising patient survey,1,F,EM,Facilitator,Basic tools provided for evaluation,0
Participation of patients in all phases of evaluation (for aspects they have experiential knowledge about) ,1,F,EM,Facilitator,Basic tools provided for evaluation,1
Provide templates with standard questions,1,F,EM,Barrier,Basic tools provided for evaluation,0
No attention for evaluation method at the start of the project ,1,F,EM,Barrier,Plan for evaluation ,0
Environmental factors make it difficult to evaluate effects of new projects,1,F,EM,Barrier,Plan for evaluation ,0
"Lack of structured, automated data collection to evaluate projects or standard care",1,F,EM,Barrier,Use of data sources,1
ELZs organising local needs consultations,1,F,EM,Facilitator,Establishing a quality culture,2
Guidelines linked to EBM ,1,F,EM,Facilitator,Establishing a quality culture,2
Setting of care goals for care regions ,1,F,EM,Facilitator,Establishing a quality culture,2
Working around specific defined health targets ,1,F,EM,Facilitator,Establishing a quality culture,2
Quality must prevail over volume ,1,F,EM,Facilitator,Establishing a quality culture,2
Developing governance arrangements/systems to realise optimal care ,1,F,EM,Facilitator,Establishing a quality culture,2
Benchmarking,1,F,EM,Barrier,Establishing a quality culture,2
Defining KPI's that are relevant to evaluate a project,1,F,EM,Barrier,Establishing a quality culture,2
Quality measurement is lacking in many sectors ,1,F,EM,Barrier,Establishing a quality culture,2
Outcomes/life goals cannot be determined generically; they are different for everyone,1,F,EM,Barrier,,0
Often slow return on investment,1,F,EM,Barrier,Appropriate funding,1
"It costs time and money to evaluate projects, often underfunded, as a result, evaluation is lacking",1,F,EM,Barrier,Appropriate funding,1
Creating clear objectives (SMART) and also communicate them within EL with possibly even linked KPI ,2,F,BA,Facilitator,Steering based on clear parameters,0
Clear guidance governments ,2,F,BA,Facilitator,Steering based on clear parameters,0
Demonstrate added value on the basis of studies/bachelor's and master's theses ,2,F,BA,Facilitator,Steering based on clear parameters,0
Learning from good examples (grant projects and pilot projects),2,F,BA,Facilitator,Innovative actions,0
"Change takes time! Foresee sufficient time, be patient ",2,F,BA,Barrier,Innovative actions,0
New generation care providers are open to cooperation and new forms of care ,2,F,BA,Facilitator,Cooperation ,0
Up to date social map ,2,F,BA,Facilitator,Cooperation ,0
Organising and financing of multidisciplinary intervisions within ELZ increase cooperation and increase professionalism,2,F,BA,Facilitator,Cooperation ,0
Mapping of the different initiatives around cooperation ,2,F,BA,Facilitator,Cooperation ,0
Information about services and resources are insufficiently available ,2,F,BA,Barrier,Cooperation ,0
Performance-oriented system creates limitations in the context of cooperation,2,F,BA,Barrier,Cooperation ,0
"Change of mindset needed: currently focus on performance, less on cooperation ",2,F,BA,Barrier,Cooperation ,0
Putting the patient in the centre and watching over his autonomy,2,F,BA,Facilitator,Patient centered approach,1
"Not overestimate the autonomy of the patient and client, they have to fight a hell of a struggle to receive the resources to which they are entitled ",2,F,BA,Barrier,Patient centered approach,1
Direct fnancial support of cooperation projects ,2,F,BA,Facilitator,Flexible funding,0
Legal constraints for innovative actions,2,F,BA,Barrier,Flexible funding,0
Existing framework with existing nomenclature may constitute barriers to innovative actions ,2,F,BA,Barrier,Flexible funding,0
Shared Electronic digital patient record,2,F,BA,Facilitator,EPD,2
The non-existence of a single integrated system between first-line and second-line (e.g. pharmacists have no access to medical file) ,2,F,BA,Barrier,EPD,1
There is no shared digital file yet ,2,F,BA,Barrier,EPD,0
Vitalink doesn't work,2,F,BA,Barrier,EPD,0
"Focus on needs and not on organisations. Public health, population management",2,F,BA,Facilitator,Needs assessment,0
For which citizens?  Always specific target groups?,2,F,BA,Barrier,Needs assessment,0
How do we measure quality of life? ,2,F,BA,Barrier,Needs assessment,0
Focus on local approach ,2,F,BA,Facilitator,Locally driven,1
Meso: first line zones can become powerful organisations ,2,F,BA,Facilitator,Locally driven,1
Bottom up,2,F,BA,Facilitator,Locally driven,1
Broadly integrated counter as entry point ,2,F,BA,Facilitator,Locally driven,1
Who can fill which role? Based on expertise/diploma? ,2,F,BA,Facilitator,Division of tasks,0
Integrated care: place of specific expertise ,2,F,BA,Facilitator,Division of tasks,0
Cooperation agreement at various levels,2,F,FF,Facilitator,Fragmentation of authorities,4
Clear and supported inter-federal plan,2,F,FF,Facilitator,Fragmentation of authorities,4
Federal versus Flemish level,2,F,FF,Barrier,Fragmentation of authorities,4
Fragmentation of authorities (incl. funding),2,F,FF,Barrier,Fragmentation of authorities,4
Complexity of our institutions regional/federal,2,F,FF,Barrier,Fragmentation of authorities,4
Fragmentation of authorities (cooperation agreement solution),2,F,FF,Barrier,Fragmentation of authorities,4
Fragmented funding and lack of resources (in organisations) to support innovations,2,F,FF,Barrier,Fragmentation of authorities,4
"Artificial division of preventive and curative care, often inextricably linked, but therefore regulated at federal and regional level, each with its own ambitions and envelopes",2,F,FF,Barrier,Fragmentation of authorities,5
Fragmentation of authorities at federal and regional level (9 ministers of health),2,F,FF,Barrier,Fragmentation of authorities,4
Rewarding quality,2,F,FF,Facilitator,Pay for quality system,3
Underfunding first-line zones,2,F,FF,Barrier,Sufficient funding,2
"Project financing leads to choices: who does, who does not",2,F,FF,Barrier,Sufficient funding,2
Offer certain equipment from the government so that care providers (dieticians) can perform the same analyses so that all patients get the same way of screening,2,F,FF,Barrier,Sufficient funding,2
Limited budget,2,F,FF,Barrier,Sufficient funding,2
Voluntarism,2,F,FF,Barrier,Sufficient funding,2
Lobbying for the sake of business models that are in jeopardy is very much felt in day-to-day work,2,F,FF,Barrier,Sufficient funding,2
More guidance,2,F,FF,Facilitator,Funding rules/Framework conditions,
"Justify grants, but continue to manage residual balances internally as a good house mother/father",2,F,FF,Facilitator,Funding rules/Framework conditions,1
Lack of framework conditions for cooperation,2,F,FF,Barrier,Funding rules/Framework conditions,
Insufficient incentives to move away from performance medicine for the benefit of patients and continuity of care,2,F,FF,Barrier,Funding rules/Framework conditions,
Need for safe framework is not sufficiently guaranteed,2,F,FF,Barrier,Funding rules/Framework conditions,
Changing the rules of the game during the process is not nice (e.g. ELZ buys bus and then gets next envelope),2,F,FF,Barrier,Funding rules/Framework conditions,
Uncertainty about the return on investment,2,F,FF,Barrier,,1
Flat-rate funding system,2,F,FF,Facilitator,Funding logic/flexible funding,1
"Mix of envelope funding according to population focus, supplemented by individual differences (outliers?) ",2,F,FF,Facilitator,Funding logic/flexible funding,0
"Multi-year trajectory budget RIZIV: long-term vision, with attention for integrated care and coordination",2,F,FF,Facilitator,Funding logic/flexible funding,0
Population funding,2,F,FF,Facilitator,Funding logic/flexible funding,1
Care pathways,2,F,FF,Facilitator,Funding logic/flexible funding,0
Restart of primary care MDO funding,2,F,FF,Facilitator,Funding logic/flexible funding,0
"RIZIV: attention for more transversal approach of care (holistic) (e.g. integrated care, GGZ)",2,F,FF,Facilitator,Funding logic/flexible funding,0
Funding mainly for pilot projects,2,F,FF,Facilitator,Funding logic/flexible funding,0
Sectoral funding hinders integrated care,2,F,FF,Barrier,Funding logic/flexible funding,0
"Basic funding for consultations (MDO) disappeared, need for structured financing, not always ad hoc",2,F,FF,Barrier,Funding logic/flexible funding,1
Funding,2,F,FF,Barrier,Funding logic/flexible funding,0
Unadjusted funding model,2,F,FF,Barrier,Funding logic/flexible funding,0
Project funding,2,F,FF,Barrier,Funding logic/flexible funding,0
Often runs behind the facts,2,F,FF,Barrier,Funding logic/flexible funding,0
Project-based funding offers too little continuity for clients and for building and maintaining expertise among professionals,2,F,FF,Barrier,Funding logic/flexible funding,0
Efficiency is not always rewarded,2,F,FF,Barrier,Funding logic/flexible funding,0
Innovations are not funded,2,F,FF,Barrier,Funding logic/flexible funding,0
Performance funding,2,F,FF,Barrier,Funding logic/flexible funding,0
No more sectoral guidance but provision of resources to support innovation,2,F,FF,Barrier,Funding logic/flexible funding,0
Difference between generations of both caregivers and patients with younger generation being more open to new forms of care,2,F,RC,Facilitator,Stakeholder attitude,0
Pro-domo attitude and fragmented position,2,F,RC,Barrier,Stakeholder attitude,0
Hierarchical system,2,F,RC,Barrier,Stakeholder attitude,0
"To be able to let go of current actions for the benefit of the patient. (taking the flu vaccine together with covid). Contact with the GP becomes more limited, which is also not ideal",2,F,RC,Barrier,Stakeholder attitude,0
Create win/win situation + task differentiation-> make more time for what really counts and centralise certain actions (e.g. flu vaccinations) ,2,F,RC,Facilitator,Approach to change,0
Bottom-up,2,F,RC,Facilitator,Approach to change,0
What's in it for me,2,F,RC,Facilitator,Approach to change,0
IKW groups facilitate cooperation,2,F,RC,Facilitator,Approach to change,0
Ambition for an inter-federal plan,2,F,RC,Facilitator,Approach to change,0
Too much focus on administrative domain,2,F,RC,Barrier,Approach to change,0
"Policies are made by lobbying circuits, maybe look for other ways of participation",2,F,RC,Barrier,Approach to change,0
"Gap between reality of first line and vision of policy is widening, too little participation in policy making",2,F,RC,Barrier,Approach to change,0
ELZ as a regional landmark,2,F,RC,Facilitator,Regional organisation,0
Experiences in ELZ during the corona period have shown what an ELZ can do. Now extrapolate and improve to a broad health system,2,F,RC,Facilitator,Regional organisation,0
More direct cooperation practices where caregivers work together,2,F,RC,Facilitator,Regional organisation,1
"Debate needed around GP shortage, what is the role of the GP in the story of integrated care",2,F,RC,Barrier,Regional organisation,0
Developing strategies to increase support,2,F,RC,Facilitator,Create support,1
Awareness-raising actions,2,F,RC,Facilitator,Create support,1
Investing in training and education,2,F,RC,Facilitator,Create support,1
Need for a clear message and clear vision. This is the basis for communicating,2,F,RC,Barrier,Create support,1
Communication,2,F,RC,Barrier,Create support,1
Informing patients on a macro level can play a facilitating role. The challenge = patients' knowledge about changing role,2,F,RC,Barrier,Create support,1
"Efforts are being made to educate healthcare providers about integrated care, limited communication with citizens about integrated care (need for awareness among patients)",2,F,RC,Barrier,Create support,1
Little insight into the ongoing innovative projects. What was the process and what can we learn from it,2,F,RC,Barrier,Innovation,0
Sustainability of innovative projects is important,2,F,RC,Barrier,Innovation,0
Include quality of care as an indicator,2,F,RC,Facilitator,Quality of care,0
Learning network - building expertise,3,F,PA,Facilitator,Lack of knowledge and training,0
training multidisciplinary,3,F,PA,Facilitator,Lack of knowledge and training,0
Training population managers (new function) ,3,F,PA,Facilitator,Lack of knowledge and training,2
training and research public health,3,F,PA,Facilitator,Lack of knowledge and training,0
lack of training and research on public health topicslack of training and research on public health topics ,3,F,PA,Barrier,Lack of knowledge and training,0
Training,3,F,PA,Barrier,Lack of knowledge and training,0
No trained staff,3,F,PA,Barrier,Lack of knowledge and training,0
Regional approach,3,F,PA,Facilitator,Data fragmentation,0
data often fragmented: different databases. Acces.,3,F,PA,Barrier,Data fragmentation,0
"Missing a base, need for a landscape map ",3,F,PA,Barrier,Data fragmentation,0
A lot of relevant data is being collected from which important conclusions can be drawn. ,3,F,PA,Facilitator,Identifying vulnerable groups,2
"Delineating vulnerable groups is successful, but reaching them is the next difficult step",3,F,PA,Barrier,Identifying vulnerable groups,2
Often people with chronic illnesses are forgotten in the list of vulnerable target groups,3,F,PA,Barrier,Identifying vulnerable groups,2
Defining vulnerable groups: what do we understand by this target group?,3,F,PA,Barrier,Identifying vulnerable groups,2
"There is a lot of diversity (= super diversity) within the vulnerable groups, which also means that each vulnerable group has its own needs",3,F,PA,Barrier,Identifying vulnerable groups,2
Sometimes missing data about most vulnerable subpopulation ,3,F,PA,Barrier,Identifying vulnerable groups,2
The 'failure' of data: there are still many hidden questions and needs. ,3,F,PA,Barrier,Identifying vulnerable groups,2
How to detect risk groups,3,F,PA,Barrier,Identifying vulnerable groups,2
How to integrate diverse cultures (fragmentation),3,F,PA,Barrier,Identifying vulnerable groups,2
Vulnerable people living at home now often remain under the radar,3,F,PA,Barrier,Identifying vulnerable groups,2
Access GDPR,3,F,PA,Barrier,GDPR,2
Difficult access to data (GDPR),3,F,PA,Barrier,GDPR,2
Making EBP available to all professions,3,F,PA,Barrier,EBP,0
"Based on correct information, when to use it ==< cfr guidelines / EBP",3,F,PA,Barrier,EBP,0
"Too much silo thinking, little focus on population and evolution over time",3,F,PA,Barrier,Lack of 'culture',0
No culture or tradition of concept,3,F,PA,Barrier,Lack of 'culture',0
Unclear responsibilities,3,F,PA,Barrier,Clarification of roles,0
"How, when and by whom to screen the population for potential health risks",3,F,PA,Barrier,Clarification of roles,0
Not knowing and involving each other enough,3,F,PA,Barrier,Clarification of roles,0
Overarching: who takes what responsibilities and connection is lacking,3,F,PA,Barrier,Clarification of roles,0
Cooperation with ELZs: more access,3,F,PA,Facilitator,Access to data,2
Getting data for small regions,3,F,PA,Barrier,Access to data,2
Which sources to use?,3,F,PA,Barrier,Access to data,2
"Delay on data, e.g. IMA data",3,F,PA,Barrier,Access to data,2
Delay in available data,3,F,PA,Barrier,Access to data,2
Developing a dashboard,3,F,PA,Facilitator,Tools,0
